headline,url,scraped_at,sentiment
"Who Is Trump's ""Brilliant, Overweight"" Friend Behind Pharma Order? Internet Thinks It's Elon Musk",https://www.ndtv.com/world-news/who-is-trumps-brilliant-overweight-friend-behind-pharma-order-internet-thinks-its-elon-musk-8400235,2025-05-13 10:16:58,Positive
"Sensex Slips 800 Points A Day After Record Rally, Nifty Down 200 Points",https://www.ndtv.com/business-news/sensex-slips-700-points-a-day-after-record-rally-nifty-down-200-points-8400233,2025-05-13 10:16:58,Negative
"Aly Gony Hits Back At Trolls For His Tweet ""Urdu Mein Likhke Bhejo"" After Pakistan's Ceasefire Violation",https://www.ndtv.com/entertainment/aly-gony-hits-back-at-trolls-for-his-tweet-urdu-mein-likhke-bhejo-after-pakistans-ceasefire-violation-8400215,2025-05-13 10:16:58,Neutral
14 Die After Allegedly Consuming Toxic Liquor In Amritsar,https://www.ndtv.com/india-news/14-die-after-allegedly-consuming-toxic-liquor-in-amritsar-8400181,2025-05-13 10:16:58,Negative
8 Epic Road Trips In India With Thrilling Hairpin Bends,https://www.ndtv.com/travel/epic-road-trips-in-india-with-thrilling-hairpin-bends-8397643,2025-05-13 10:16:58,Positive
Why Did Virat Kohli Conclude His Test Retirement Message With '#269'?,https://sports.ndtv.com/cricket/why-did-virat-kohli-conclude-his-test-retirement-message-with-269-8393409,2025-05-13 10:16:58,Neutral
Ducati Diavel V4 RS Confirmed! Launch Likely In 2026,https://www.ndtv.com/auto/ducati-diavel-v4-rs-confirmed-launch-likely-in-2026-8400069,2025-05-13 10:16:58,Positive
"Maharashtra Board SSC Result 2025 To Be Declared Today, Direct Link Here",https://www.ndtv.com/education/maharashtra-board-ssc-result-2025-to-be-declared-today-direct-link-here-8400044,2025-05-13 10:16:58,Positive
Australia Announces Squad For WTC Final Amid IPL 2025 Extension Drama,https://sports.ndtv.com/cricket/australia-announces-squad-for-wtc-final-amid-ipl-2025-extension-drama-8399942,2025-05-13 10:16:58,Neutral
"Virat Kohli Wanted To Retire On May 7, BCCI Told Him To Wait Due To Operation Sindoor: Report",https://sports.ndtv.com/cricket/virat-kohli-wanted-to-retire-on-may-7-family-key-report-says-bcci-told-him-to-wait-due-to-operation-sindoor-8397659,2025-05-13 10:16:58,Negative
BJP's Nationwide 'Tiranga Yatra' Today To Honour Armed Forces,https://www.ndtv.com/india-news/bjps-nationwide-tiranga-yatra-today-to-honour-armed-forces-8399813,2025-05-13 10:16:58,Neutral
How To Make Mango Seed Mukhwas: A Traditional Post-Meal Treat With Digestive Benefits,https://food.ndtv.com/food-drinks/how-to-make-mango-seed-mukhwas-a-traditional-post-meal-treat-with-digestive-benefits-8396142,2025-05-13 10:16:58,Neutral
Nottingham Forest Striker Taiwo Awoniyi Rushed To Hospital For Abdominal Surgery: Reports,https://sports.ndtv.com/football/nottingham-forest-striker-taiwo-awoniyi-rushed-to-hospital-for-abdominal-surgery-reports-8398844,2025-05-13 10:16:58,Neutral
"""Virat Kohli, Rohit Sharma Will Not Play 2027 ODI World Cup"": Sunil Gavaskar's Blunt Verdict",https://sports.ndtv.com/cricket/virat-kohli-rohit-sharma-will-not-play-2027-odi-world-cup-sunil-gavaskars-blunt-take-on-duos-future-8399850,2025-05-13 10:16:58,Neutral
Nikhil Kamath Asks Cops Why Bengaluru Traffic Is Getting Worse. Their Reply,https://www.ndtv.com/offbeat/nikhil-kamath-asks-top-cops-for-a-solution-to-bengaluru-traffic-problem-they-explain-8399883,2025-05-13 10:16:58,Negative
"US Pastor, Wife Accused Of Forcing Church Members Into Slave Labour, Sexual Exploitation For A Decade",https://www.ndtv.com/world-news/us-pastor-wife-accused-of-forcing-church-members-into-slave-labour-sexual-exploitation-for-a-decade-8399845,2025-05-13 10:16:58,Positive
"Cannes Film Festival Bans Nudity, ""Voluminous"" Outfits On The Red Carpet",https://www.ndtv.com/entertainment/cannes-film-festival-bans-nudity-voluminous-outfits-on-the-red-carpet-8399844,2025-05-13 10:16:58,Neutral
Son Heung-Min Wants Europa League Glory To 'Complete' Tottenham Hotspur Career,https://sports.ndtv.com/football/son-heung-min-wants-europa-league-glory-to-complete-tottenham-hotspur-career-8399815,2025-05-13 10:16:58,Positive
"Shashi Tharoor's Note For ""Immortal"" Virat Kohli As He Retires From Tests",https://www.ndtv.com/india-news/virat-test-retirement-shashi-tharoor-kohli-congress-mp-recalls-when-he-met-the-immortal-india-test-player-face-to-face-8399783,2025-05-13 10:16:58,Neutral
"NVS Admit Card 2025: Non Teaching Post Admit Card Released, Download Here",https://www.ndtv.com/education/nvs-admit-card-2025-non-teaching-post-admit-card-released-download-here-8399782,2025-05-13 10:16:58,Neutral
